icao24,origin_country,velocity,geo_altitude
300aa9,Italy,49.94,1005.84
e8027b,Chile,246.22,13182.6
e8027e,Chile,177.2,4244.34
801638,India,196.95,7985.76
39de4b,France,237.87,11292.84
39de57,France,218.79,11452.86
39de59,France,239.78,12062.46
39de58,France,228.83,12070.08
a3feee,United States,55.74,1348.74
39de51,France,235.96,11445.24
80162e,India,140.88,4206.24
39de50,France,229.45,11788.14
aae302,United States,152.49,8321.04
39de55,France,224.88,12047.22
a4d86a,United States,52.39,114.3
80163c,India,65.63,213.36
801647,India,189.42,3947.16
801648,India,248.89,11971.02
a53eef,United States,229.53,9974.58
4031a2,United Kingdom,57.53,944.88
80160b,India,263.12,9822.18
ad6966,United States,208.33,12702.54
801618,India,210.37,7757.16
abacb6,United States,252.02,11628.12
801619,India,219.81,12268.2
a71211,United States,95.63,2263.14
801621,India,181.17,5737.86
80160e,India,9.26,
80160d,India,247.13,11963.4
aaf665,United States,202.73,6431.28
ad5623,United States,224.57,11620.5
a0e250,United States,124.29,1973.58
39de46,France,229.35,12016.74
488252,Poland,195.89,9227.82
407a05,United Kingdom,234.16,12009.12
39de48,France,227.19,11757.66
c034b2,Canada,0.0,45.72
a84509,United States,59.18,2804.16
a4b234,United States,66.97,914.4
407a06,United Kingdom,243.44,11955.78
8a02cb,Indonesia,222.95,11437.62
801633,India,5.66,
39de40,France,238.23,11727.18
39de43,France,103.94,975.36
8a02d5,Indonesia,226.85,13289.28
80166d,India,213.74,12222.48
511187,Estonia,216.5,11757.66
44028c,Austria,217.4,8595.36
adeca5,United States,248.42,10530.84
44028a,Austria,71.11,106.68
511188,Estonia,213.19,11711.94
adeca0,United States,37.84,198.12
e48d61,Brazil,77.38,4206.24
8a02d4,Indonesia,101.81,1188.72
470beb,Hungary,47.65,495.3
abacd2,United States,198.6,11437.62
4acb01,Sweden,86.17,243.84
4acb03,Sweden,130.24,1729.74
4acb02,Sweden,246.43,12009.12
801689,India,84.37,1463.04
e80251,Chile,208.02,10904.22
51116f,Estonia,197.08,11917.68
4bc8c8,Turkey,243.16,11102.34
4bc8c6,Turkey,144.48,3611.88
4bc8c4,Turkey,228.49,11384.28
4bc8c2,Turkey,221.27,10820.4
4bc8c3,Turkey,220.16,11422.38
801680,India,222.2,12252.96
4bc8c1,Turkey,4.12,
80167c,India,77.69,1036.32
3dbc00,Germany,89.34,1417.32
80167f,India,257.0,11910.06
511171,Estonia,193.55,7139.94
acdfcc,United States,79.23,1546.86
511172,Estonia,226.83,11445.24
511170,Estonia,243.39,11087.1
4bc8d9,Turkey,237.99,11689.08
801698,India,7.2,
3d23b9,Germany,43.3,1447.8
841a6c,Japan,139.42,1684.02
4bc8d6,Turkey,228.23,11071.86
4bc8d3,Turkey,176.24,6385.56
4bc8d4,Turkey,68.65,586.74
4bc8d2,Turkey,229.87,10782.3
a963f1,United States,40.18,762.0
a35592,United States,255.42,11833.86
ac101f,United States,232.81,11574.78
